story_id,tweet_count,retweet_count,reply_count,total_engagement
story_reviews_00069,23,21,2,46
story_reviews_00070,142,51,12,205
story_reviews_00071,8,3,1,12
story_reviews_00072,61,6,1,68
story_reviews_00073,16,37,10,63
story_reviews_00074,157,101,15,273
story_reviews_00075,40,13,0,53
story_reviews_00076,194,14,2,210
story_reviews_00077,54,38,2,94
story_reviews_00078,63,10,2,75
story_reviews_00079,593,183,13,789
story_reviews_00080,55,9,1,65
story_reviews_00081,81,12,1,94
story_reviews_00082,86,63,3,152
story_reviews_00083,75,29,0,104
story_reviews_00084,426,218,13,657
story_reviews_00085,754,467,120,1341
story_reviews_00086,414,639,644,1697
story_reviews_00087,31,9,6,46
story_reviews_00088,108,72,24,204
story_reviews_00089,200,41,3,244
story_reviews_00090,79,31,0,110
story_reviews_00091,38,13,0,51
story_reviews_00092,22,2,54,78
story_reviews_00093,26,3,1,30
story_reviews_00094,57,5,1,63
story_reviews_00095,87,12,0,99
story_reviews_00096,55,2,0,57
story_reviews_00097,18,2,0,20
story_reviews_00098,245,108,11,364
story_reviews_00099,99,6,2,107
story_reviews_00100,113,118,24,255
story_reviews_00101,390,189,7,586
story_reviews_00102,290,146,27,463
story_reviews_00103,86,9,0,95
story_reviews_00104,85,82,2,169
story_reviews_00105,10,7,1,18
story_reviews_00106,395,226,56,677
story_reviews_00107,650,735,109,1494
story_reviews_00108,297,313,61,671
story_reviews_00109,9,9,0,18
story_reviews_00110,208,263,19,490
story_reviews_00111,75,5,0,80
story_reviews_00112,372,243,48,663
story_reviews_00113,27,1,0,28
story_reviews_00114,215,58,15,288
story_reviews_00115,94,2,0,96
story_reviews_00116,67,76,15,158
story_reviews_00117,442,110,12,564
story_reviews_00118,53,97,9,159
story_reviews_00119,26,26,3,55
story_reviews_00120,629,398,22,1049
story_reviews_00121,208,96,10,314
story_reviews_00122,56,0,0,56
story_reviews_00123,109,16,4,129
story_reviews_00124,155,160,27,342
story_reviews_00125,102,226,107,435
story_reviews_00126,273,67,4,344
story_reviews_00127,20,9,0,29
story_reviews_00128,165,62,28,255
story_reviews_00129,8,5,0,13
story_reviews_00130,183,52,12,247
story_reviews_00131,72,71,4,147
story_reviews_00132,6,8,0,14
story_reviews_00133,77,1,0,78
story_reviews_00134,84,96,5,185
story_reviews_00135,110,11,2,123
story_reviews_00136,256,117,10,383
story_reviews_00137,58,4,0,62
story_reviews_00138,141,82,19,242
story_reviews_00139,21,7,2,30
story_reviews_00140,244,66,1,311
story_reviews_00141,328,158,21,507
story_reviews_00142,354,216,44,614
story_reviews_00143,204,310,77,591
story_reviews_00144,83,16,2,101
story_reviews_00145,21,95,44,160
story_reviews_00146,19,76,9,104
story_reviews_00147,80,8,3,91
story_reviews_00148,1594,867,250,2711
story_reviews_00149,24,10,3,37
story_reviews_00150,79,29,4,112
story_reviews_00151,13,1,0,14
story_reviews_00152,61,3,0,64
story_reviews_00153,306,9,2,317
story_reviews_00154,333,198,37,568
story_reviews_00155,162,129,8,299
story_reviews_00156,22,38,5,65
story_reviews_00157,66,37,2,105
story_reviews_00158,76,12,0,88
story_reviews_00159,108,5,1,114
story_reviews_00160,665,370,13,1048
story_reviews_00161,229,58,5,292
story_reviews_00162,387,477,38,902
story_reviews_00163,98,24,4,126
story_reviews_00164,72,39,1,112
story_reviews_00165,184,71,11,266
story_reviews_00166,358,114,12,484
story_reviews_00167,15,11,0,26
story_reviews_00168,41,6,3,50
story_reviews_00169,211,30,2,243
story_reviews_00170,55,39,10,104
story_reviews_00171,161,48,2,211
story_reviews_00172,110,1,0,111
story_reviews_00173,2,0,0,2
story_reviews_00174,79,80,23,182
story_reviews_00175,50,5,0,55
story_reviews_00176,98,77,16,191
story_reviews_00177,124,89,7,220
story_reviews_00178,77,9,4,90
story_reviews_00179,401,215,89,705
story_reviews_00180,195,148,5,348
story_reviews_00181,164,18,0,182
story_reviews_00182,113,6,0,119
story_reviews_00183,307,41,10,358
story_reviews_00184,235,207,16,458
story_reviews_00185,811,594,47,1452
story_reviews_00186,62,36,3,101
story_reviews_00187,29,5,8,42
story_reviews_00188,122,58,7,187
story_reviews_00189,566,226,67,859
story_reviews_00190,158,58,8,224
story_reviews_00191,90,0,0,90
story_reviews_00192,84,25,10,119
story_reviews_00193,605,551,89,1245
story_reviews_00194,122,89,3,214
story_reviews_00195,354,323,39,716
story_reviews_00196,122,246,1,369
story_reviews_00197,403,355,43,801
story_reviews_00198,81,141,51,273
story_reviews_00199,87,3,0,90
story_reviews_00200,369,496,93,958
story_reviews_00201,46,29,0,75
story_reviews_00202,370,96,6,472
story_reviews_00203,71,116,5,192
story_reviews_00204,362,360,53,775
story_reviews_00205,38,137,1,176
story_reviews_00206,8,4,1,13
story_reviews_00207,422,275,218,915
story_reviews_00208,121,11,0,132
story_reviews_00209,100,7,0,107
story_reviews_00210,28,39,17,84
story_reviews_00211,167,143,12,322
story_reviews_00212,303,89,3,395
story_reviews_00213,5,2,0,7
story_reviews_00214,90,50,26,166
story_reviews_00215,62,1,0,63
story_reviews_00216,157,138,7,302
story_reviews_00217,2,0,0,2
story_reviews_00218,116,54,10,180
story_reviews_00219,59,48,14,121
story_reviews_00220,1,0,0,1
story_reviews_00221,23,72,12,107
story_reviews_00222,36,9,0,45
story_reviews_00223,386,276,18,680
story_reviews_00224,45,4,2,51
story_reviews_00225,15,14,0,29
story_reviews_00226,139,76,7,222
story_reviews_00227,550,416,62,1028
story_reviews_00228,30,16,4,50
story_reviews_00229,216,179,7,402
story_reviews_00230,76,1,0,77
story_reviews_00231,74,9,1,84
story_reviews_00232,57,85,8,150
story_reviews_00233,97,45,3,145
story_reviews_00234,47,104,6,157
story_reviews_00235,111,25,2,138
story_reviews_00236,642,414,22,1078
story_reviews_00237,69,13,0,82
story_reviews_00238,166,166,19,351
story_reviews_00239,346,139,8,493
story_reviews_00240,100,5,0,105
story_reviews_00241,1278,577,68,1923
story_reviews_00242,199,136,10,345
story_reviews_00243,102,59,7,168
story_reviews_00244,12,11,2,25
story_reviews_00245,5,1,0,6
story_reviews_00246,22,4,0,26
story_reviews_00247,227,56,9,292
story_reviews_00248,729,288,33,1050
story_reviews_00249,67,32,1,100
story_reviews_00250,146,97,26,269
story_reviews_00251,126,21,1,148
story_reviews_00252,79,95,1,175
story_reviews_00253,49,1,0,50
story_reviews_00254,253,254,32,539
story_reviews_00255,97,0,0,97
story_reviews_00256,1515,690,124,2329
story_reviews_00257,368,118,4,490
story_reviews_00258,47,144,2,193
story_reviews_00259,54,66,6,126
story_reviews_00260,40,51,11,102
story_reviews_00261,966,531,84,1581
story_reviews_00262,275,108,8,391
story_reviews_00263,78,77,14,169
story_reviews_00264,70,11,0,81
story_reviews_00265,54,41,5,100
story_reviews_00266,862,565,39,1466
story_reviews_00267,129,29,1,159
story_reviews_00268,74,73,2,149
story_reviews_00269,20,109,19,148
story_reviews_00270,15,3,0,18
story_reviews_00271,305,143,32,480
story_reviews_00272,503,454,77,1034
story_reviews_00273,75,23,0,98
story_reviews_00274,112,5,2,119
story_reviews_00275,75,83,7,165
story_reviews_00276,335,171,5,511
story_reviews_00277,537,158,20,715
story_reviews_00278,287,112,23,422
story_reviews_00279,76,56,14,146
story_reviews_00280,20,0,0,20
story_reviews_00281,12,6,2,20
story_reviews_00282,130,25,0,155
story_reviews_00283,49,14,2,65
story_reviews_00284,327,201,4,532
story_reviews_00285,148,32,2,182
story_reviews_00286,673,281,68,1022
story_reviews_00287,127,67,1,195
story_reviews_00288,22,12,2,36
story_reviews_00289,123,47,3,173
story_reviews_00290,541,109,11,661
story_reviews_00291,65,11,0,76
story_reviews_00292,94,25,0,119
story_reviews_00293,91,24,2,117
story_reviews_00294,289,19,4,312
story_reviews_00295,57,36,5,98
story_reviews_00296,57,14,2,73
story_reviews_00297,405,246,14,665
story_reviews_00298,13,7,0,20
story_reviews_00299,163,13,1,177
story_reviews_00300,121,28,13,162
story_reviews_00301,790,806,100,1696
story_reviews_00302,216,73,5,294
story_reviews_00303,35,40,0,75
story_reviews_00304,129,49,2,180
story_reviews_00305,45,4,0,49
story_reviews_00306,90,135,9,234
story_reviews_00307,234,170,5,409
story_reviews_00308,507,158,13,678
story_reviews_00309,220,33,0,253
story_reviews_00310,44,4,0,48
story_reviews_00311,156,11,0,167
story_reviews_00312,148,153,17,318
story_reviews_00313,130,6,0,136
story_reviews_00314,465,438,16,919
story_reviews_00315,96,47,3,146
story_reviews_00316,1396,1197,70,2663
story_reviews_00317,35,31,0,66
story_reviews_00318,558,259,41,858
story_reviews_00319,294,94,24,412
story_reviews_00320,132,61,10,203
story_reviews_00321,144,9,0,153
story_reviews_00322,146,194,19,359
story_reviews_00323,69,38,3,110
story_reviews_00324,391,131,5,527
story_reviews_00325,173,173,28,374
story_reviews_00326,185,53,3,241
story_reviews_00327,23,5,1,29
story_reviews_00328,332,50,12,394
story_reviews_00329,248,163,54,465
story_reviews_00330,26,3,0,29
story_reviews_00331,358,80,3,441
story_reviews_00332,3107,1159,70,4336
story_reviews_00333,50,47,3,100
story_reviews_00334,93,19,5,117
story_reviews_00335,245,4,6,255
story_reviews_00336,90,24,5,119
story_reviews_00337,13,3,0,16
story_reviews_00338,442,414,42,898
story_reviews_00339,161,130,15,306
story_reviews_00340,183,117,5,305
story_reviews_00341,432,52,6,490
story_reviews_00342,171,35,2,208
story_reviews_00343,179,26,0,205
story_reviews_00344,528,267,9,804
story_reviews_00345,43,6,0,49
story_reviews_00346,90,70,4,164
story_reviews_00347,474,73,3,550
story_reviews_00348,55,6,0,61
story_reviews_00349,127,135,20,282
story_reviews_00350,162,13,5,180
story_reviews_00351,611,191,10,812
story_reviews_00352,13,6,1,20
story_reviews_00353,1006,493,27,1526
story_reviews_00354,192,30,0,222
story_reviews_00355,188,116,19,323
story_reviews_00356,73,49,3,125
story_reviews_00357,73,1,1,75
story_reviews_00358,127,24,7,158
story_reviews_00359,208,14,2,224
story_reviews_00360,370,260,19,649
story_reviews_00361,90,50,17,157
story_reviews_00362,46,9,4,59
story_reviews_00363,103,2,0,105
story_reviews_00364,108,26,2,136
story_reviews_00365,140,76,6,222
story_reviews_00366,108,51,6,165
story_reviews_00367,230,10,1,241
story_reviews_00368,648,345,16,1009
story_reviews_00369,367,46,8,421
story_reviews_00370,90,75,14,179
story_reviews_00371,1280,826,59,2165
story_reviews_00372,35,10,0,45
story_reviews_00373,130,88,15,233
story_reviews_00374,212,127,35,374
story_reviews_00375,58,42,15,115
story_reviews_00376,167,11,1,179
story_reviews_00377,173,54,15,242
story_reviews_00378,145,180,82,407
story_reviews_00379,24,11,0,35
story_reviews_00380,190,112,22,324
story_reviews_00381,469,90,4,563
story_reviews_00382,24,15,0,39
story_reviews_00383,147,185,99,431
story_reviews_00384,331,71,10,412
story_reviews_00385,55,27,2,84
story_reviews_00386,594,106,15,715
story_reviews_00387,78,6,0,84
story_reviews_00388,297,264,14,575
story_reviews_00389,419,91,1,511
story_reviews_00390,152,34,7,193
story_reviews_00391,663,377,38,1078
story_reviews_00392,204,57,5,266
story_reviews_00393,337,210,20,567
story_reviews_00394,197,22,14,233
story_reviews_00395,133,57,4,194
story_reviews_00396,321,29,10,360
story_reviews_00397,732,54,10,796
story_reviews_00398,41,8,5,54
story_reviews_00399,237,11,0,248
story_reviews_00400,416,64,6,486
story_reviews_00401,96,9,0,105
story_reviews_00402,77,53,6,136
story_reviews_00403,182,22,2,206
story_reviews_00404,82,174,13,269
story_reviews_00405,207,155,3,365
story_reviews_00406,187,242,9,438
story_reviews_00407,113,65,31,209
story_reviews_00408,840,286,9,1135
story_reviews_00409,1876,1178,103,3157
story_reviews_00410,21,6,0,27
story_reviews_00411,178,215,16,409
story_reviews_00412,116,21,1,138
story_reviews_00413,115,9,0,124
story_reviews_00414,50,29,4,83
story_reviews_00415,687,392,33,1112
story_reviews_00416,20,6,0,26
story_reviews_00417,81,46,12,139
story_reviews_00418,803,808,80,1691
story_reviews_00419,17,11,0,28
story_reviews_00420,181,253,29,463
story_reviews_00421,62,10,0,72
story_reviews_00422,115,2,0,117
story_reviews_00423,231,7,1,239
story_reviews_00424,66,43,1,110
story_reviews_00425,113,60,8,181
story_reviews_00426,93,1,0,94
story_reviews_00427,31,1,0,32
story_reviews_00428,197,33,2,232
story_reviews_00429,120,87,5,212
story_reviews_00430,11,5,0,16
story_reviews_00431,95,28,2,125
story_reviews_00432,221,125,13,359
story_reviews_00433,227,39,4,270
story_reviews_00434,505,281,33,819
story_reviews_00435,493,147,5,645
story_reviews_00436,71,66,11,148
story_reviews_00437,209,38,3,250
story_reviews_00438,260,225,4,489
story_reviews_00439,64,46,9,119
story_reviews_00440,926,57,24,1007
story_reviews_00441,179,10,1,190
story_reviews_00442,394,804,108,1306
story_reviews_00443,64,68,21,153
story_reviews_00444,318,52,0,370
story_reviews_00445,270,131,13,414
story_reviews_00446,232,101,22,355
story_reviews_00447,93,171,0,264
story_reviews_00448,920,855,148,1923
story_reviews_00449,35,18,1,54
story_reviews_00450,68,70,2,140
story_reviews_00451,181,53,3,237
story_reviews_00452,178,148,6,332
story_reviews_00453,52,16,0,68
story_reviews_00454,40,2,0,42
story_reviews_00455,54,62,0,116
story_reviews_00456,38,105,22,165
story_reviews_00457,47,37,4,88
story_reviews_00458,69,46,0,115
story_reviews_00459,144,156,6,306
story_reviews_00460,30,27,1,58
story_reviews_00461,37,30,1,68
story_reviews_00462,231,15,2,248
story_reviews_00463,91,42,7,140
story_reviews_00464,148,18,0,166
story_reviews_00465,163,38,7,208
story_reviews_00466,130,43,13,186
story_reviews_00467,24,1,0,25
story_reviews_00468,51,12,2,65
story_reviews_00469,94,64,6,164
story_reviews_00470,683,175,15,873
story_reviews_00471,74,19,0,93
story_reviews_00472,106,46,0,152
story_reviews_00473,32,4,3,39
story_reviews_00474,471,699,105,1275
story_reviews_00475,443,41,6,490
story_reviews_00476,263,24,1,288
story_reviews_00477,58,88,4,150
story_reviews_00478,88,17,4,109
story_reviews_00479,127,56,3,186
story_reviews_00480,268,53,1,322
story_reviews_00481,359,705,29,1093
story_reviews_00482,35,28,1,64
story_reviews_00483,84,6,0,90
story_reviews_00484,406,37,7,450
story_reviews_00485,771,499,265,1535
story_reviews_00486,123,21,3,147
story_reviews_00487,604,430,27,1061
story_reviews_00488,142,46,1,189
story_reviews_00489,67,94,3,164
story_reviews_00490,10,0,0,10
story_reviews_00491,485,140,22,647
story_reviews_00492,79,10,3,92
story_reviews_00493,95,108,6,209
story_reviews_00494,43,10,0,53
story_reviews_00495,325,17,5,347
story_reviews_00496,113,13,5,131
story_reviews_00497,257,191,19,467
story_reviews_00498,115,10,0,125
story_reviews_00499,69,14,6,89
story_reviews_00500,362,159,17,538
story_reviews_00501,1,0,0,1
story_reviews_00502,42,10,0,52
story_reviews_00503,627,401,32,1060
story_reviews_00504,399,64,4,467
story_reviews_00505,193,37,18,248
story_reviews_00506,593,111,6,710
story_reviews_00507,95,84,5,184
story_reviews_00508,65,38,4,107
story_reviews_00509,414,46,10,470
story_reviews_00510,27,14,8,49
story_reviews_00511,143,79,4,226
story_reviews_00512,1172,504,77,1753
story_reviews_00513,109,75,19,203
story_reviews_00514,109,15,1,125
story_reviews_00515,39,3,0,42
story_reviews_00516,12,24,0,36
story_reviews_00517,35,23,0,58
story_reviews_00518,204,17,2,223
story_reviews_00519,130,5,0,135
story_reviews_00520,985,809,81,1875
story_reviews_00521,77,79,3,159
story_reviews_00522,1192,610,183,1985
story_reviews_00523,317,32,0,349
story_reviews_00524,175,14,1,190
story_reviews_00525,32,8,3,43
story_reviews_00526,0,0,0,0
story_reviews_00527,1504,464,47,2015
story_reviews_00528,183,270,19,472
story_reviews_00529,214,57,8,279
story_reviews_00530,57,10,0,67
story_reviews_00531,12,3,0,15
story_reviews_00532,42,10,0,52
story_reviews_00533,428,109,3,540
story_reviews_00534,49,28,3,80
story_reviews_00535,59,14,3,76
story_reviews_00536,96,38,6,140
story_reviews_00537,32,22,1,55
story_reviews_00538,454,269,64,787
story_reviews_00539,201,29,2,232
story_reviews_00540,32,7,0,39
story_reviews_00541,400,124,7,531
story_reviews_00542,15,1,0,16
story_reviews_00543,76,6,6,88
story_reviews_00544,165,34,3,202
story_reviews_00545,225,55,4,284
story_reviews_00546,66,13,3,82
story_reviews_00547,204,37,6,247
story_reviews_00548,570,79,1,650
story_reviews_00549,32,26,0,58
story_reviews_00550,487,69,3,559
story_reviews_00551,112,177,8,297
story_reviews_00552,16,3,0,19
story_reviews_00553,186,39,4,229
story_reviews_00554,66,16,1,83
story_reviews_00555,607,26,0,633
story_reviews_00556,196,41,3,240
story_reviews_00557,527,120,15,662
story_reviews_00558,288,92,7,387
story_reviews_00559,699,501,154,1354
story_reviews_00560,103,76,21,200
story_reviews_00561,508,103,10,621
story_reviews_00562,737,262,22,1021
story_reviews_00563,269,34,1,304
story_reviews_00564,145,48,4,197
story_reviews_00565,3,1,0,4
story_reviews_00566,133,25,1,159
story_reviews_00567,54,0,0,54
story_reviews_00568,385,59,10,454
story_reviews_00569,45,29,3,77
story_reviews_00570,680,114,8,802
story_reviews_00571,7,1,0,8
story_reviews_00572,79,15,0,94
story_reviews_00573,104,202,36,342
story_reviews_00574,30,33,3,66
story_reviews_00575,383,8,1,392
story_reviews_00576,1383,439,68,1890
story_reviews_00577,290,21,1,312
story_reviews_00578,83,66,2,151
story_reviews_00579,106,132,6,244
story_reviews_00580,32,28,1,61
story_reviews_00581,50,25,9,84
story_reviews_00582,152,7,2,161
story_reviews_00583,128,27,6,161
story_reviews_00584,108,38,9,155
story_reviews_00585,4,0,0,4
story_reviews_00586,191,40,18,249
story_reviews_00587,36,151,3,190
story_reviews_00588,101,206,39,346
story_reviews_00589,158,73,6,237
story_reviews_00590,120,28,4,152
story_reviews_00591,6,0,0,6
story_reviews_00592,54,49,17,120
story_reviews_00593,358,233,15,606
story_reviews_00594,80,24,5,109
story_reviews_00595,89,78,2,169
story_reviews_00596,46,15,1,62
story_reviews_00597,158,132,12,302
story_reviews_00598,22,23,0,45
story_reviews_00599,311,196,26,533
story_reviews_00600,771,128,10,909
story_reviews_00601,193,58,12,263
story_reviews_00602,104,29,2,135
story_reviews_00603,567,52,5,624
story_reviews_00604,916,228,20,1164
story_reviews_00605,118,2,0,120
story_reviews_00606,26,6,0,32
story_reviews_00607,4772,933,202,5907
story_reviews_00608,13,9,0,22
story_reviews_00609,178,57,3,238
story_reviews_00610,59,38,8,105
story_reviews_00611,12,2,0,14
story_reviews_00612,181,226,20,427
story_reviews_00613,788,274,37,1099
story_reviews_00614,104,90,2,196
story_reviews_00615,151,13,0,164
story_reviews_00616,626,156,8,790
story_reviews_00617,138,102,9,249
story_reviews_00618,93,38,2,133
story_reviews_00619,85,35,0,120
story_reviews_00620,227,23,2,252
story_reviews_00621,1021,75,1,1097
story_reviews_00622,638,306,24,968
story_reviews_00623,30,23,2,55
story_reviews_00624,3630,950,229,4809
story_reviews_00625,267,31,9,307
story_reviews_00626,8,4,0,12
story_reviews_00627,231,9,1,241
story_reviews_00628,503,136,12,651
story_reviews_00629,23,12,0,35
story_reviews_00630,108,5,1,114
story_reviews_00631,191,45,2,238
story_reviews_00632,59,6,4,69
story_reviews_00633,65,39,6,110
story_reviews_00634,12,4,0,16
story_reviews_00635,121,24,6,151
story_reviews_00636,202,50,2,254
story_reviews_00637,150,23,0,173
story_reviews_00638,34,3,0,37
story_reviews_00639,108,51,1,160
story_reviews_00640,133,98,3,234
story_reviews_00641,46,8,0,54
story_reviews_00642,707,206,22,935
story_reviews_00643,425,157,27,609
story_reviews_00644,326,415,27,768
story_reviews_00645,346,96,4,446
story_reviews_00646,847,468,162,1477
story_reviews_00647,87,93,4,184
story_reviews_00648,148,25,13,186
story_reviews_00649,111,55,2,168
story_reviews_00650,264,69,36,369
story_reviews_00651,137,40,1,178
story_reviews_00652,117,50,7,174
story_reviews_00653,105,9,0,114
story_reviews_00654,68,2,0,70
story_reviews_00655,31,23,1,55
story_reviews_00656,280,23,0,303
story_reviews_00657,619,465,41,1125
story_reviews_00658,150,63,4,217
story_reviews_00659,645,315,90,1050
story_reviews_00660,619,252,57,928
story_reviews_00661,112,40,7,159
story_reviews_00662,264,36,4,304
story_reviews_00663,669,140,31,840
story_reviews_00664,424,137,14,575
story_reviews_00665,40,80,8,128
story_reviews_00666,117,9,4,130
story_reviews_00667,765,345,23,1133
story_reviews_00668,197,130,34,361
story_reviews_00669,745,199,100,1044
story_reviews_00670,227,62,3,292
story_reviews_00671,47,14,0,61
story_reviews_00672,302,18,3,323
story_reviews_00673,207,37,1,245
story_reviews_00674,133,153,26,312
story_reviews_00675,131,90,23,244
story_reviews_00676,119,126,34,279
story_reviews_00677,159,52,9,220
story_reviews_00678,118,23,1,142
story_reviews_00679,280,37,4,321
story_reviews_00680,142,85,1,228
story_reviews_00681,509,100,2,611
story_reviews_00682,130,148,7,285
story_reviews_00683,218,134,26,378
story_reviews_00684,68,39,2,109
story_reviews_00685,360,745,175,1280
story_reviews_00686,112,72,3,187
story_reviews_00687,192,70,14,276
story_reviews_00688,35,17,12,64
story_reviews_00689,209,22,0,231
story_reviews_00690,113,53,10,176
story_reviews_00691,158,16,3,177
story_reviews_00692,133,116,56,305
story_reviews_00693,245,380,20,645
story_reviews_00694,180,50,9,239
story_reviews_00695,464,293,62,819
story_reviews_00696,148,28,17,193
story_reviews_00697,264,41,4,309
story_reviews_00698,329,184,32,545
story_reviews_00699,131,57,12,200
story_reviews_00700,125,32,0,157
story_reviews_00701,22,4,1,27
story_reviews_00702,316,172,21,509
story_reviews_00703,1177,374,77,1628
story_reviews_00704,52,36,15,103
story_reviews_00705,421,187,20,628
story_reviews_00706,81,125,18,224
story_reviews_00707,876,304,15,1195
story_reviews_00708,268,15,2,285
story_reviews_00709,74,6,4,84
story_reviews_00710,311,129,23,463
story_reviews_00711,10,10,1,21
story_reviews_00712,177,21,5,203
story_reviews_00713,2377,601,222,3200
story_reviews_00714,875,423,50,1348
story_reviews_00715,49,16,16,81
story_reviews_00716,310,127,4,441
story_reviews_00717,85,57,1,143
story_reviews_00718,96,20,3,119
story_reviews_00719,281,327,56,664
story_reviews_00720,90,21,13,124
story_reviews_00721,218,66,2,286
story_reviews_00722,864,373,66,1303
story_reviews_00723,35,8,1,44
story_reviews_00724,4053,1681,233,5967
story_reviews_00725,86,9,4,99
story_reviews_00726,232,19,0,251
story_reviews_00727,2,0,0,2
story_reviews_00728,72,34,2,108
story_reviews_00729,93,2,0,95
story_reviews_00730,345,78,1,424
story_reviews_00731,221,38,1,260
story_reviews_00732,104,1,1,106
story_reviews_00733,620,24,0,644
story_reviews_00734,117,1,0,118
story_reviews_00735,158,196,16,370
story_reviews_00736,304,2,1,307
story_reviews_00737,103,6,0,109
story_reviews_00738,84,10,2,96
story_reviews_00739,1038,468,125,1631
story_reviews_00740,158,16,5,179
story_reviews_00741,242,8,3,253
story_reviews_00742,47,7,2,56
story_reviews_00743,183,13,1,197
story_reviews_00744,31,0,2,33
story_reviews_00745,120,51,3,174
story_reviews_00746,66,19,1,86
story_reviews_00747,113,11,0,124
story_reviews_00748,126,1,2,129
story_reviews_00749,273,74,6,353
story_reviews_00750,50,30,1,81
story_reviews_00751,88,19,2,109
story_reviews_00752,177,28,18,223
story_reviews_00753,26,8,0,34
story_reviews_00754,294,202,35,531
story_reviews_00755,275,12,0,287
story_reviews_00756,259,255,35,549
story_reviews_00757,116,9,0,125
story_reviews_00758,184,0,1,185
story_reviews_00759,104,13,2,119
story_reviews_00760,48,2,0,50
story_reviews_00761,585,271,469,1325
story_reviews_00762,270,87,6,363
story_reviews_00763,115,42,3,160
story_reviews_00764,58,5,2,65
story_reviews_00765,64,1,0,65
story_reviews_00766,175,104,15,294
story_reviews_00767,288,22,0,310
story_reviews_00768,202,86,13,301
story_reviews_00769,559,76,33,668
story_reviews_00770,82,19,0,101
story_reviews_00771,54,13,0,67
story_reviews_00772,808,343,55,1206
story_reviews_00773,28,4,0,32
story_reviews_00774,1482,317,77,1876
story_reviews_00775,60,17,3,80
story_reviews_00776,195,29,1,225
story_reviews_00777,52,4,0,56
story_reviews_00778,93,3,2,98
story_reviews_00779,417,34,4,455
story_reviews_00780,162,66,12,240
story_reviews_00781,69,4,0,73
story_reviews_00782,289,27,8,324
story_reviews_00783,38,5,0,43
story_reviews_00784,49,8,0,57
story_reviews_00785,72,1,0,73
story_reviews_00786,294,167,26,487
story_reviews_00787,275,38,1,314
story_reviews_00788,205,82,17,304
story_reviews_00789,107,16,1,124
story_reviews_00790,209,53,6,268
story_reviews_00791,214,1,1,216
story_reviews_00792,175,62,11,248
story_reviews_00793,32,4,0,36
story_reviews_00794,189,6,0,195
story_reviews_00795,49,4,0,53
story_reviews_00796,312,5,0,317
story_reviews_00797,50,39,5,94
story_reviews_00798,90,6,1,97
story_reviews_00799,225,6,1,232
story_reviews_00800,48,17,0,65
story_reviews_00801,317,9,1,327
story_reviews_00802,355,47,3,405
story_reviews_00803,871,122,20,1013
story_reviews_00804,343,41,2,386
story_reviews_00805,220,4,0,224
story_reviews_00806,100,7,1,108
story_reviews_00807,153,12,0,165
story_reviews_00808,129,26,18,173
story_reviews_00809,458,170,4,632
story_reviews_00810,12,0,0,12
story_reviews_00811,500,438,66,1004
story_reviews_00812,161,22,6,189
story_reviews_00813,309,17,3,329
