story_id,text,label,tweet_count,retweet_count,reply_count,total_engagement
story_reviews_00012,"Reuters rehashes Merck announcement on Keytruda trial for esophageal cancer

You can’t do much in a 176-word story, and Reuters didn’t in this one.

This story was reported entirely from a Merck news announcement that immunotherapy drug Keytruda (pembrolizumab) did better than chemotherapy at extending the lives of certain patients with esophageal cancer.
On the plus side, the story conveyed some information about the drug’s availability. However, it didn’t didn’t say how much the drug costs, how long it extended survival, or what the potential harms might be.
It also passed along without scrutiny Merck’s assertion that this is the first time a drug of this type has helped those patients live longer.
We can anticipate Reuters reading our review and responding that their audience is different – it’s a business audience. Well, whether you’re flying in business class or coach, you may run into this story in the same way – by searching for Keytruda online.  And whether you’re an investor or a patient, some of your basic informational needs are the same.  And you didn’t get those needs answered in this piece.
The new trial results on Keytruda for digestive tract cancers haven’t been presented at a scientific conference yet, much less been submitted for peer review.
Too much, too soon.",fake,8,0,0,8
story_reviews_00013,"CNN overstates evidence linking neck pulse measurements to increased dementia risk

The story didn’t tell readers this was an observational study–cause-and-effect couldn’t be established.

The story focuses on research presented a conference that found increased intensity of “forward compression waves” (FCWs) in the carotid artery was associated with an increased risk of dementia later in life.
The story didn’t tell readers this was an observational study–cause-and-effect couldn’t be established. Also, there is no discussion of the risks of this kind of screening test, notably the risk of false positives and false negatives.",fake,223,299,31,553
story_reviews_00014,"Fox News regurgitates a hot mess from the UK Sun

The story is full of holes and canned quotes, making the news release more informative.

This brief, 375-word story published by Fox News was sourced from The Sun. It describes a study using an artificial intelligence algorithm to recognize patterns from brain scans.
The story at least warns readers that because of the small study size (just 40 subjects), larger studies would be needed to know if the reported “100% accuracy” for predicting Alzheimer’s six years before diagnosis, can actually be replicated.
But beyond that, the story is full of holes and canned quotes. The news release was far more informative.",fake,158,107,3,268
story_reviews_00015,"Thoughtful and thorough, AP story looks at growing trend of using ketamine for depression

When it comes to ketamine, people with depression and their families should be informed of the unclear benefits and risks.

This story explained how the drug ketamine is coming into vogue as a treatment for depression and suicidal behavior. It’s not focused on one new study but rather the topic in general, describing how “desperate patients are shelling out thousands of dollars for treatment often not covered by health insurance, with scant evidence on long-term benefits and risks.”
The story gave a good overview of the available evidence as well as costs, potential harms, and availability. One thing that would have made the story stronger is the inclusion of a negative patient anecdote, if one could be found, in order to balance the mainly positive anecdotes. “Bad trips” (also known as “k-holes“) are indeed a real risk that people should be aware of.",real,139,95,42,276
story_reviews_00016,"ABC News story perpetuates misinformation that new drug will prevent spread of flu

Also, the story states that Xofluza is associated with fewer side effects than Tamiflu, but it doesn’t mention any potential harms.

This story is one of two we are reviewing that focuses on FDA’s approval of a drug designed to speed patient recovery from flu symptoms (the second story is from The New York Times). The drug is baloxavir marboxil, marketed under the trade name Xofluza.
This ABC News story didn’t adequately address cost, potential harms, or the fact that Xofluza worked no better than oseltamivir (sold as Tamiflu) at reducing flu symptoms in a clinical trial. It also told readers that researchers think the drug “will reduce spread of the flu,” but didn’t point out that there is no evidence to show that as a possible benefit.",fake,37,126,25,188
story_reviews_00017,"New York Times warns readers that new flu drug ‘is no miracle cure’

The story provides people with the fundamental details they need to be informed patients.

This story is one of two we are reviewing that focuses on FDA’s approval of a drug designed to speed patient recovery from flu symptoms (the second story is from ABC News). The drug is baloxavir marboxil, marketed under the trade name Xofluza. This New York Times story hits most of the points that we want to see in a story about a new drug.",real,323,75,7,405
story_reviews_00018,"Litany of errors hampers Reuters story on experimental breast cancer drug

The story conflates progression-free survival with overall survival.

Cancer and its treatments can be challenging for reporters to cover. At times, this can lead to a misinterpretation of study findings or incorrect explanations of how a drug works or who it is for. In this article, there is a litany of errors that begins in the headline and continue on into the story. The end result is an article that inaccurately tells readers there is a new cancer drug, BYL719/alpelisib, that cuts the risk of death by 35 percent in patients with a breast cancer gene mutation. The drug improved progression-free survival, which is not the same as survival and does not necessarily reflect “risk of death.” The patients have not been followed long enough to know if the ones who received BYL719/alpelisib along with Faslodex (fulvestrant), an approved cancer drug, lived longer than those who received Faslodex alone.
Also, BYL719/alpelisib is not for patients with an inherited gene mutation. It is for patients who have breast cancer cells with a type of genomic mutation that is seen in about 40 percent of patients with hormone-sensitive breast cancer. The words genomic and genetic are not interchangeable and do not mean the same thing.",fake,141,21,1,163
story_reviews_00019,"HealthDay speculates that experimental cystic fibrosis drug combo could be ‘breakthrough’ and ‘game-changing’

Thankfully, the story did mention the extremely steep cost of these drugs.

This story reports on two trials that showed adding adding one of two new drugs to standard therapy possibly improved short-term lung function in cystic fibrosis patients who fall into two common categories of gene mutations.
The story wisely included the high cost of some of these compounds, known as CFTR (cystic fibrosis transmembrane conductance regulator) modulators. However, the story did not give enough data to help readers make sense of the scope of the benefits. And while it did contain some caveats about the quality of evidence, those cautions were drowned out by numerous optimistic–and speculative–statements about how the drug will perform in future trials.",fake,42,3,0,45
story_reviews_00020,"HealthDay touts nerve device as ‘more effective,’ but data is from unpublished study with no control group

But the story did a good job of reporting on the cost and availability of this procedure.

This story reports on an study of 67 people with chronic back pain, most of whom reported feeling at least a little better after they had a dorsal root ganglion (DRG) stimulator implanted in their spine. An abstract of the study was presented at the annual meeting of the American Society of Anesthesiologists.
The story did a good job of reporting on the cost and availability of this procedure. However, it didn’t acknowledge that the study’s findings are unreliable because there was no comparison with a control arm of patients who didn’t get the device. The story also played up an unsupported claim that this therapy could reduce opioid use and didn’t disclose that one source has significant conflicts of interest.",fake,32,4,0,36
story_reviews_00021,"Inquirer’s look at using Facebook to screen for depression emphasizes research ‘is still in very early stages’

It would have been helpful if the story had explored who would pay for this kind of screening, and what we know about depression screening in general: Is it effective?

This Philadelphia Inquirer story focuses on the early development of a computer model that uses Facebook posts to identify people with depression.
It makes clear that the technology is in its preliminary stages and is not close to being used in a clinical setting. The article did not oversell the technology and discussed the limitations to the research. Still, it would have been helpful if the story had explored who would pay for this kind of screening, and what we know about depression screening in general: Is it effective?",real,24,30,6,60
story_reviews_00022,"Reuters once again rehashes drug company news release

There was also no information about how or where these research findings were presented, nor was there any input from independent experts.

The news story focuses on an announcement from Johnson & Johnson that one of its drugs, Stelara, is effective at treating moderate-to-severe ulcerative colitis (UC). The story does make note of potential harms, and points out other treatments on the market to treat the disease.
However, the story does not make clear how well the treatment works –nor how much it costs. There was also no information about how or where these research findings were presented, nor was there any input from independent experts. It is not much more than a rewrite of the news release, which is emerging as a pattern in our review of Reuters stories.",fake,90,4,0,94
story_reviews_00023,"Doctor’s $620,000 conflict of interest not disclosed in Inquirer story on new migraine drugs

But it was good to see how the story included the prices of the drugs and mentioned the lack of long-term safety data.

The story reports on three drugs recently approved by the FDA to prevent headaches in people who get frequent migraine headaches. The drugs, known as calcitonin gene-related peptide (CGRP) inhibitors, are erenumab (Aimovig), fremanezumab (Ajovy), and galcanezumab (Emgality).
The story did some things well–for example, it included the prices of the drugs and mentioned the lack of long-term safety data. However, the story didn’t disclose that one of the physicians quoted in the story has accepted hundreds of thousands of dollars from companies that make these and other migraine drugs. We also wanted to know more about the design and veracity of the clinical trials behind these drugs.",fake,27,8,3,38
story_reviews_00024,"AP offers strong reporting about the evidence for a drug treatment for moderate bone loss

This story did a good job of explaining the findings and the quality of evidence.

This article covers a six-year study of 2,000 women in New Zealand ages 65 or older who had a scan indicating osteopenia, or moderate bone loss. Half received up to four infusions of the bisphosphonate zoledronate acid (brand name Reclast), administered in 18 month intervals. The other half received placebo infusions.
The study, published in the New England Journal of Medicine, found that the women who received zoledronate had a lower risk of developing a fracture than those on the placebo. This finding could be used to recommend broader use use of bone-building drugs in people with moderate bone loss.
The story addressed the significance of the findings, the size of the benefit, the quality of the evidence, and conflicts of interest. It also mentioned potential major adverse effects that the study could not rule out. We think the coverage could have been improved by mentioning side effects and alternative strategies for bone health.",real,95,18,0,113
story_reviews_00025,"Are bacteria useful as cancer ‘weapons,’ or far too early to know? Key context missing from HealthDay story

The message that the bacterium “appears to target malignant cells and could provide a new means of fighting cancer” is overly optimistic, given that this is a study that was designed to establish a safe dosage level, not show whether there’s a meaningful clinical benefit.

This story reports about a safety trial involving 24 cancer patients in which a weakened form of the bacterium clostridium novyi was injected into tumors. The results were presented at the International Cancer Immunotherapy Conference.
The story provides appropriately cautions about potential harms. But it explained the results of the study in a way that may cause confusion, among other issues.",fake,78,18,2,98
story_reviews_00026,"Newsweek overlooks key limitation of study on vitamin D and childhood obesity

Media outlets must be careful in covering rudimentary results, since they may never be published or peer-reviewed.

Newsweek covers the results of a preliminary study that suggest a weekly dose of vitamin D might help children with obesity.
While the story provides important context to the issue, identifies some caveats, and includes the voice of an outside expert, some key details weren’t included. The study did not appear to control for things like daily activity levels (which can positively influence many aspects of health), and it covered a small population size with a limited geographic scope.",fake,35,7,0,42
story_reviews_00027,"Antidepressants and therapy may ease IBS, but Reuters Health story is unclear on extent of benefit

The article does a good job of addressing the limitations of the research and incorporating input from independent experts.

The story focuses on a recently published journal article that evaluates the available research on whether antidepressants or psychotherapy may reduce the symptoms of irritable bowel syndrome (IBS). The article does a good job of addressing the limitations of the research and incorporating input from independent experts. However, the story fumbled a bit when explaining the results of the meta-analysis, and didn’t discuss costs or harms of treatments.",fake,67,11,1,79
story_reviews_00028,"STAT’s cheerleading coverage of prescription fish oil capsule lacks crucial context

This piece reads like an advertisement for a new prescription formulation of fish oil. Our reviewers describe what’s missing.

A 25% reduction in cardiovascular events, including death, heart attack or stroke sounds like a big deal… and maybe it is. But this story about the results of a trial of a prescription drug derived from fish oil (brand name Vascepa) relies on a news release and company statements that don’t provide basic information about the precise number or type of cardiovascular events observed by researchers. Without absolute numbers, it is impossible to judge the importance of these results. It is also premature to claim that the results represent “heart-medicine history,” especially given that the findings haven’t been peer-reviewed and are at odds with numerous previous studies.
The story takes a cheerleading tone and fails to supply key context. For example, it highlights a dramatic quote from a researcher without noting that he was paid over $120,000 by the drug company, including payments for speeches and other appearances on its behalf, in 2017. The story headline and text do make clear that only patients with cardiovascular disease and high levels of triglycerides or diabetes were in the trial, so it should be clear to readers that this drug was not shown to prevent disease in healthy people. The story does not give any details about potential harms of the drug. It reports key details of the trial, but without access to the full trial report, it is impossible to judge the quality of the evidence or its real significance.",fake,202,272,100,574
story_reviews_00029,"NY Times hails MitraClip a ‘huge advance’ for heart failure, but independent sources might have said otherwise

This story reported on results of a randomized clinical trial of a device called the MitraClip, used to repair the mitral valve in patients with heart failure. Results of the trial, called COAPT, were published in the New England Journal of Medicine.
The story provided some very important details. For example, it addressed the cost of the device, provided data to quantify the extent of the benefit, and mentioned that the study was funded by the clip’s maker, Abbot.
But the story lacked balance in its sourcing. All of the physicians quoted were somehow involved in the study. The story only briefly mentioned a different trial that showed the device offered no benefit for people with heart failure, and didn’t mention that a third trial is underway. It also didn’t spell out that only about 10% of people with heart failure are similar to those in this trial.",fake,1048,381,49,1478
story_reviews_00030,"Newsweek story on Zika vaccine to zap brain cancer is fascinating–but needed more caution about mouse research

The story does express some limitations of the study findings, which we appreciate.

This story reports results from a study in which researchers deployed a Zika virus vaccine to target and kill human glioblastoma brain cancer stem cells, which had been transplanted into mice. Glioblastoma is the most common and malignant form of primary brain tumor, and has most recently been in the news as the disease that killed Senator John McCain. It is incurable despite aggressive treatment with surgery, radiation, and chemotherapy. Median survival time is less than 2 years.
The story does express some limitations of the study findings, which we appreciate. But given how preliminary this evidence was, we think there was room for improvement–especially in the headline (no mention of mice) and when countering some speculation about how the virus might “hunt” down cancer in people.",fake,17,18,1,36
story_reviews_00031,"One woman’s account of spinal cord stimulator skips realities of medical device safety in U.S.

The story also did not mention that the author acknowledged being a paid “advocate” for pain patients, which could present a conflict of interest.

This story summarized one woman’s account of getting a spinal cord stimulator to relieve her chronic back pain, as published in more detail in Popular Science. This is a review of the Washington Post’s abridged version.
To its credit, the story mentioned the high cost of the surgery to get the implant and does not portray the device as a total cure.
But it did glorify the device as a “next generation” implant that could serve as an alternative to opioids. It missed an opportunity to describe who could benefit, spell out what evidence exists of a benefit, and discuss the potential harms of getting this device inserted in your spine. The story also did not mention that the woman, Janet Jay, acknowledged being a paid “advocate” for pain patients, which could present a conflict of interest.",fake,28,50,7,85
story_reviews_00032,"U.S. News churns out puff piece on medical marijuana app research

The story doesn’t address numerous limitations with this research and failed to scrutinize the quality of the evidence.

This story drew largely from a news release about two studies purporting to show sweeping health benefits of marijuana, based on user-reported data from the Releaf phone app.
There was no critical examination of the underlying evidence, and this story is basically providing free marketing for all sorts of things the authors of the study have financial stakes in.",fake,93,117,9,219
story_reviews_00033,"Reuters story on kidney cancer drug makes us ask: How is this journalism?

The story takes the company’s word for the announced benefit without evaluating the claims and fails to address cost or side effects in any way, despite the fact that both drugs are already on the market.

This story briefly reports on an announcement from a drug company that an ongoing study shows longer progression-free survival of patients with advanced renal cell carcinoma if those patients are receiving a combination of two drugs: avelumab (sold under the trade name Bavencio) and axitinib (sold under the trade name Inlyta).
The story is focused on investors and meant to deliver a quick update on market-moving news. Yet the story will also show up in the searches of many patients who suffer from kidney cancer and can be misled by such one-sided coverage.
Primarily because the story takes the company’s word for the announced benefit without evaluating the claims and fails to address cost or side effects in any way, despite the fact that both drugs are already on the market.",fake,52,0,0,52
story_reviews_00034,"Fish oil during pregnancy led to ‘stronger kids,’ but was the difference clinically meaningful?

The story included multiple independent sources to provide perspective, and it included a few key details about the study.

This HealthDay story describes a study published in the British Medical Journal that looked at whether pregnant women who took fish oil supplements in their third trimester produced healthier children based on their growth statistics and body mass index, compared to mothers who did not.  The study was a high-quality randomized controlled trial of the effects of fish oil during pregnancy on asthma in children, which looked at effects on body mass index as a secondary outcome measure.
The story included multiple independent sources to provide perspective, and it included a few key details about the study. While it provided the scope of the benefit of taking fish oil, it could have gone a step further to explain if those measured benefits really mean much for children’s health.",fake,19,1,0,20
story_reviews_00035,"In story about ‘latest generation’ of weight loss drugs, NBC overlooks doctors’ pharma ties

Also, a host of potential harms from weight-loss drugs went mostly unmentioned.

This story suggested that lingering fear from the 1990s fen-phen scare continues to drive patients away from the “latest generation” of weight-loss drugs, which, it asserted, could safely help some people with obesity lose enough weight to improve their risk factors for heart disease.
But the story didn’t give readers much information to go on. There was no data quantifying the benefits of drugs now on the market or comparing them with alternatives, such as surgery. The story also didn’t mention cost or potential harms and relied largely on quotes from two physicians who have received significant compensation from companies that make weight-loss drugs–which wasn’t disclosed in the story. It is vital that journalists disclose such details.
The story made a lot of general statements about weight-loss medications but named just one that’s on the market — lorcaserin (Belviq).",fake,105,99,115,319
story_reviews_00036,"U.S. News & World Report regurgitates news release on cannabidiol and psychosis

The specifics of the study are glossed over, no connection is made between brain activity and clinical symptoms or outcomes, and there’s no mention of cost or potential harms.

This US News & World Report story reports on a small study measuring brain activity, but makes it sound like a major step forward. The specifics of the study are glossed over, no connection is made between brain activity and clinical symptoms or outcomes, and there’s no mention of cost or potential harms. In addition, the story relies on a news release from the research university where the study was done and canned quotes from the study author.",fake,19,3,0,22
story_reviews_00037,"WSJ reporter claims a carotid artery scan ‘saved’ his life — but there’s no way to know that

Also, discussion of carotid artery screening of people who do not have symptoms is mixed up with the reporter’s experience with testing done in order to diagnose the cause of his symptoms.

The story about a reporter’s decision to treat a carotid artery blockage exemplifies the powerful strengths and weaknesses of first-person health care reporting. It carries a powerful emotional punch and an apparently happy ending that overwhelms the evidence presented. Numerous psychology studies document the power of “outcome bias,” in which the results of a decision affect beliefs about whether the decision was correct or not. We are very happy that all went well, but it is reasonable to assume this story would have looked very different if had not.
There is no mention of the costs of the surgical procedure. Neither is carotid stenting mentioned as an alternative to endarterectomy surgery. Discussion of carotid artery screening of people who do not have symptoms is mixed up with the reporter’s experience with testing done in order to diagnose the cause of symptoms – a somewhat common flaw of conflating diagnostic testing with screening tests. The risk that the surgery could trigger a stroke, including a fatal one, is highlighted, but the risk statistics reported here are lower than those published in major summaries of the evidence.",fake,174,102,106,382
story_reviews_00038,"Without an independent source, BuzzFeed’s story on a medical device for OCD doesn’t offer much beyond the news release

On the upside, the story does include the side effects associated with transcranial magnetic stimulation.

This article reports on an Food and Drug Administration “marketing authorization” for a commercial magnetic pulse delivery device designed to temporarily reduce the symptoms of obsessive-compulsive disorder (OCD) by affecting neurochemical transmissions in the brain. The device is worn on the head and, through a coil, delivers noisy, often headache-inducing pulses to part of the brain. Treatments are needed on an ongoing basis in most cases, and are delivered in a clinical setting by health care specialists. This type of device was first approved by the FDA for use in major depression and some migraine conditions.
The text of the story only thinly describes the very limited clinical trial that informed the new FDA decision, and doesn’t go much beyond a news release from the company. The only quote is from an FDA official saying the device has “potential” to help people with OCD who have not responded to conventional therapy. An independent expert source would have likely made this story much stronger.",fake,42,11,1,54
story_reviews_00039,"Newsweek’s premature optimism about experimental ovarian cancer drug overlooks costs, harms and limitations of the evidence

While targeted therapies are an important area of research, the public shouldn’t be oversold on early-phase trials or led to think that tumor shrinkage portends a cure.

This story reported on a phase 1b trial of a drug called vistusertib, which is being tested in tandem with chemotherapy on ovarian and lung cancer patients whose disease had been unresponsive to other treatments. The purpose of the trial was to establish dosing and get a preliminary look at the drug’s effectiveness. Findings were published in the Annals of Oncology.
Echoing the optimistic framing of a news release, this Newsweek story focused on the fact that some patients who took their drug saw their tumors shrink, including a quote calling the findings “very encouraging.” It also overlooked discussion of potential harms and and didn’t caution readers that tumor shrinkage doesn’t necessarily lead to longer survival.",fake,17,3,0,20
story_reviews_00040,"Talazoparib touted as ‘promising,’ but is it any better than a similar breast cancer drug that’s already available?

To its credit, the story did a good job explaining how many women experienced adverse events in the treatment group and the control group.

This HealthDay story covers a clinical trial of a new drug for breast cancer – one that may be useful in women with BRCA mutations. The opening sentence is misleading, saying that the drug, talazoparib, improves survival. The study found that talazoparib helped women go longer without progression of their cancer. It remains to be seen if they live longer. It’s an important distinction that we think should be made crystal clear for readers.
Also, there is already an FDA-approved cancer drug that works like this one. The story never explains: Why do we need another one? Is this one novel?",fake,103,15,0,118
story_reviews_00041,"Multigene test may find risk for common diseases, but there’s no evidence it will make anyone healthier

At the end of the day, what is important to most people is what exactly their individual risk might be, and the story offers no information on how well it evaluates that.

This Associated Press story describes a new approach aimed at analyzing genetic data to assess the risk to patients of developing five specific diseases, and giving people a “polygenic score.” The new approach looks at multiple genes at the same time, and the role they play, in developing these diseases.  Many current genetic tests focus on seeking individual genes that have been changed.
The story needed more caution–there are plenty of unknowns here. For example, even if a person knows their score, there’s no proof that having that number will improve health outcomes. What, for example, should a person do if they find out they’re at high risk for heart disease, but don’t have any signs of it? Also, false-positive and false-negative results could be significant.",fake,53,60,4,117
story_reviews_00042,"How solid is the evidence behind the FDA-cleared ‘contraceptive app?’ ABC News doesn’t say

But, the story provided some data on the reported effectiveness of the app and cautioned it’s not foolproof.

This Good Morning America/ABCNews.com story reports on the FDA’s first medical device clearance of a birth control app, called Natural Cycles, which helps women track their menstrual cycles and bodily temperatures to figure out when they are fertile. The story provided some data on the reported effectiveness of the app and cautioned it’s not foolproof. But it stumbled by not interviewing an independent source, explaining where the data came from or providing more comparisons with other birth control methods.",fake,103,17,2,122
story_reviews_00043,"When n=1, it’s easy to jump to conclusions about a therapy working

Was it the hyperbaric treatment or something else that helped a patient profiled in a Philadelphia Inquirer story?

This well-written article discusses a patient suffering from delayed effects of radiation who received hyperbaric therapy treatment. The patient noticed improvements in pain levels and mobility, but doctors in the story warn that this treatment is unproven to help patients with delayed radiation injury and that this type of therapy tends to be overused.
Though it is gratifying to hear the patient’s words and the hope that this treatment has provided him, it actually isn’t clear whether the hyperbaric oxygen itself was the reason he got better. The “placebo” effect is well described in the medical literature and refers to sham treatments (fake surgery or pills) leading to benefit. It may also be that the treatment really did help but not for the reasons cited–maybe simply sitting still for hours helped tissues to heal. We do wish the story had explored this aspect more.",real,21,15,4,40
story_reviews_00044,"HealthDay neglects the potential harms of transplanting hepatitis-infected kidneys

Conflicts of interest also weren’t mentioned–and they were notable in this case.

This story reported on a study that showed 20 dialysis patients who were transplanted with kidneys infected with hepatitis C virus (HCV) and subsequently treated for the virus fared as well as patients who received non-infected kidneys. The study concluded that kidneys from HCV-infected donors “may be a valuable transplant resource.”
The story explained the novelty of using organs that might otherwise get thrown away. But it skipped over questions about availability, potential risks, and study limitations. Conflicts of interest also weren’t mentioned–and they were notable in this case.",fake,8,0,0,8
story_reviews_00045,"Newsweek prematurely reports ‘promise’ for ketamine as a treatment for depressed teens

And potential harms weren’t spelled out — particularly important when it comes to the unknown effects of long-term use on developing brains and bodies.

This story reported on a preliminary study looking at whether the drug ketamine might be a potential treatment for adolescent depression.  The story refrained from disease-mongering and quantified the scope of the observed benefits.
However, the headline and lead were misleading in stating that teens who took the drug had improvements in their depression. The word “promise” used in the headline wasn’t borne out by the data. In fact, the study wasn’t designed to offer reliable evidence that the drug offers a benefit. Caveats about the study were included only toward the end of the story, and readers were left in the dark about ketamine’s potential for misuse and its potential side effects. Costs were also missing.",fake,49,28,4,81
